row_id,year,reporting_level,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodity,compartment,flow_type,subflow_type,substance,unit,value,comment,source,source_id
ENV_INT-6e9be24e-2023-4,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,-,,,,,Water,water,Withdrawal intensity,-,m3/t of ore processed,2.64,,Barrick_2023_Performance-Data,SRC_BarrickGoldCorporation_Barrick_2023_Performance-Data
ENV_INT-6e9be24e-2023-5,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,-,,,,,Water,water,Consumption intensity,-,m3/oz produced,7.37,,Barrick_2023_Performance-Data,SRC_BarrickGoldCorporation_Barrick_2023_Performance-Data
ENV_INT-6e9be24e-2023-6,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,-,,,,,Water,water,Consumption intensity,-,m3/t of ore processed,0.82,,Barrick_2023_Performance-Data,SRC_BarrickGoldCorporation_Barrick_2023_Performance-Data
ENV_INT-6e9be24e-2023-7,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,-,,mining,"Open-pit, underground, concentrator",Gold,Air,ghg,scope1+2?,-,tCO2eq/oz gold,0.177,,Barrick_2023_Performance-Data,SRC_BarrickGoldCorporation_Barrick_2023_Performance-Data
ENV_INT-6e9be24e-2023-8,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,-,,mining,"Open-pit, underground, concentrator",Gold,Air,ghg,scope1+2?,-,tCO2eq/t of ore processed,0.02,,Barrick_2023_Performance-Data,SRC_BarrickGoldCorporation_Barrick_2023_Performance-Data
ENV_INT-5ce331b8-2023-1,2023,Site-specific,Canadian Royalties Inc.,Nunavik Nickel,QC-MAIN-5ce331b8,-,,mining,"Open-pit, underground, concentrator","Nickel, copper, platinum group metals, cobalt",Air,ghg,GHG intensity,-,tCO2eq/t ore milled,0.0794,,Rapport_Objectif_Emissions_GES_2023_EN,SRC_CanadianRoyaltiesInc._Rapport_Objectif_Emissions_GES_2023_EN
ENV_INT-5ce331b8-2023-2,2023,Site-specific,Canadian Royalties Inc.,Nunavik Nickel,QC-MAIN-5ce331b8,-,,mining,"Open-pit, underground, concentrator","Nickel, copper, platinum group metals, cobalt",Water,water,Water intensity,-,m3/t ore,0.4566666666666667,,Rapport_Objectif_Emissions_GES_2023_EN,SRC_CanadianRoyaltiesInc._Rapport_Objectif_Emissions_GES_2023_EN
ENV_INT-CMP-c08ac7d7-2024-1,2024,Company-level,Champion Iron Ltd,-,-,-,CMP-c08ac7d7,mining,Open-pit,Iron,Air,ghg,scope1 intensity,-,tCO2eq/t iron concentrate produced,8.87,,cil-23sr-esg-databookvf.xlsx,SRC_ChampionIronLtd_cil-23sr-esg-databookvf
ENV_INT-CMP-c08ac7d7-2024-2,2024,Company-level,Champion Iron Ltd,-,-,-,CMP-c08ac7d7,mining,Open-pit,Iron,Air,ghg,scope2 intensity,-,tCO2eq/t iron concentrate produced,0.08,,cil-23sr-esg-databookvf.xlsx,SRC_ChampionIronLtd_cil-23sr-esg-databookvf
ENV_INT-CMP-c08ac7d7-2023-1,2023,Company-level,Champion Iron Ltd,-,-,-,CMP-c08ac7d7,mining,Open-pit,Iron,Air,air_pollution,-,NOx,kg/t iron concentrate produced,0.017,,cil-23sr-esg-databookvf.xlsx,SRC_ChampionIronLtd_cil-23sr-esg-databookvf
ENV_INT-CMP-c08ac7d7-2023-2,2023,Company-level,Champion Iron Ltd,-,-,-,CMP-c08ac7d7,mining,Open-pit,Iron,Air,air_pollution,-,PM2.5,kg/t iron concentrate produced,0.0259,,cil-23sr-esg-databookvf.xlsx,SRC_ChampionIronLtd_cil-23sr-esg-databookvf
ENV_INT-f9e41c2a-2023-1,2023,Site-specific,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2,-,tCO2eq/t ore milled,0.0218,,ESG_2023.pdf,SRC_EldoradoGold_ESG_2023
ENV_INT-f9e41c2a-2023-2,2023,Site-specific,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2,-,tCO2eq/oz Au produced,0.1,,ESG_2023.pdf,SRC_EldoradoGold_ESG_2023
