main_id,name,longitude,latitude,geometry,peatland_presence
AB-MAIN-189a0c74-1,Millennium and Steepbank,-111.34,56.8719,POINT (-111.34 56.8719),peat in soil mosaic
AB-MAIN-0b9235e1-1,Aurora North and South,-111.458,57.3134,POINT (-111.458 57.3134),peat dominated
AB-MAIN-2a973ac9-1,Mildred Lake,-111.4667,57.0,POINT (-111.4667 57),No data
BC-MAIN-eb5b0a1d-1,Myra Falls,-125.59,49.57,POINT (-125.59 49.57),No data
QC-MAIN-36e82d90-1,A.S.I. - Ste Catherine,-73.60497,45.397642,POINT (-73.60497 45.397642),No data
NB-MAIN-6593e458-1,AIM Recycling Atlantic,-66.064603,45.261306,POINT (-66.064603 45.261306),No data
ON-MAIN-0dc1ca23-1,AIM Recycling Hamilton,-79.778036,43.259378,POINT (-79.778036 43.259378),No data
QC-MAIN-8ca456ee-1,AIM Recycling La Prairie,-73.500867,45.396324,POINT (-73.500867 45.396324),No data
QC-MAIN-a8bc675a-1,AIM Recycling Laval,-73.644813,45.66641,POINT (-73.644813 45.66641),No data
QC-MAIN-4e8715a9-1,AIM Recycling Lévis,-71.177734,46.74789,POINT (-71.177734 46.74789),No data
QC-MAIN-41c4b402-1,AIM Recycling Montréal-Est,-73.5522,45.6309,POINT (-73.5522 45.6309),No data
ON-MAIN-a4f158ba-1,AIM Recycling Ottawa East,-75.606364,45.407485,POINT (-75.606364 45.407485),No data
ON-MAIN-fc4f3bb2-1,Algoma Steel,-84.36664,46.52055,POINT (-84.36664 46.52055),No data
QC-MAIN-a07b1ea4-1,Alma,-71.6897,48.5847,POINT (-71.6897 48.5847),No data
QC-MAIN-9245d5f2-1,Alouette,-66.4429,50.1571,POINT (-66.4429 50.1571),peat dominated
AB-MAIN-0400fad0-1,AltaSteel,-113.387962,53.492783,POINT (-113.387962 53.492783),No data
ON-MAIN-621e4f9d-1,ArcelorMittal Dofasco,-79.805204,43.269132,POINT (-79.805204 43.269132),No data
QC-MAIN-0d3e2477-1,Arvida,-71.165521,48.430174,POINT (-71.165521 48.430174),No data
QC-MAIN-a80a23b5-1,Baie-Comeau,-68.1491,49.2562,POINT (-68.1491 49.2562),peat in soil mosaic
AB-MAIN-d0340ea2-1,Baymag,-115.210061,51.060022,POINT (-115.210061 51.060022),No data
QC-MAIN-1cdc4109-1,Bécancour,-72.3852,46.381,POINT (-72.3852 46.381),No data
QC-MAIN-e6f9d1aa-1,Becancour Silicon,-72.39,46.37,POINT (-72.39 46.37),No data
ON-MAIN-ab3beaca-1,Blind River,-83.017246,46.180896,POINT (-83.017246 46.180896),No data
ON-MAIN-b8eb9cec-1,Brampton,-79.722125,43.691066,POINT (-79.722125 43.691066),No data
ON-MAIN-5d575b1c-1,Brampton Division,-79.666841,43.736239,POINT (-79.666841 43.736239),No data
AB-MAIN-9e5c8260-1,Calgary Facility,-114.031993,51.02419,POINT (-114.031993 51.02419),No data
ON-MAIN-6d63265c-1,Cambridge Mill,-80.28,43.37,POINT (-80.28 43.37),No data
QC-MAIN-7aedd1d1-1,Canadian Electrolytic Zinc Limited (CEZinc),-74.097205,45.228312,POINT (-74.097205 45.228312),No data
QC-MAIN-b82e1010-1,CCR,-73.511778,45.627518,POINT (-73.511778 45.627518),No data
QC-MAIN-e346178b-1,Contrecœur East,-73.249081,45.837723,POINT (-73.249081 45.837723),No data
QC-MAIN-8395491a-1,Contrecœur West,-73.263268,45.819938,POINT (-73.263268 45.819938),No data
QC-MAIN-d5f7f7a9-1,Contrecœur-Feruni,-73.260949,45.83316,POINT (-73.260949 45.83316),No data
ON-MAIN-79b5b7f0-1,Copper Cliff Complex,-81.0569,46.4801,POINT (-81.0569 46.4801),No data
QC-MAIN-a131cab8-1,Deschambault,-71.9467,46.6939,POINT (-71.9467 46.6939),No data
QC-MAIN-7af0f951-1,Elkem Chicoutimi,-71.131239,48.412769,POINT (-71.131239 48.412769),No data
SK-MAIN-df629bdd-1,EVRAZ Regina,-104.623843,50.515263,POINT (-104.623843 50.515263),No data
AB-MAIN-e7f96788-1,GenAlta Recycling Inc.,-113.274102,53.588119,POINT (-113.274102 53.588119),No data
MB-MAIN-88871a03-1,General Scrap,-97.019187,49.928603,POINT (-97.019187 49.928603),No data
QC-MAIN-4201fced-1,General Smelting Company of Canada,-73.676345,45.448518,POINT (-73.676345 45.448518),No data
QC-MAIN-5dd926d1-1,Grande-Baie,-70.9258,48.3058,POINT (-70.9258 48.3058),No data
ON-MAIN-c630ce3f-1,Hamilton Parkdale Division,-79.782925,43.260957,POINT (-79.782925 43.260957),No data
ON-MAIN-4181dc29-1,Hamilton Works,-79.819,43.275,POINT (-79.819 43.275),No data
QC-MAIN-6ac74402-1,Horne,-79.0151,48.2534,POINT (-79.0151 48.2534),No data
MB-MAIN-1d0c2cb3-1,Industrial Metals,-97.098232,49.88847,POINT (-97.098232 49.88847),No data
ON-MAIN-9326076c-1,Ivaco Rolling Mills,-74.704435,45.6119,POINT (-74.704435 45.6119),No data
ON-MAIN-a427926b-1,Kingston Operation,-76.5121,44.2615,POINT (-76.5121 44.2615),No data
BC-MAIN-637c52c2-1,Kitimat,-128.6954,53.9976,POINT (-128.6954 53.9976),No data
ON-MAIN-f7c901fd-1,Lake Erie Works,-80.0937,42.8001,POINT (-80.0937 42.8001),No data
QC-MAIN-ef20c691-1,Laterrière,-71.1287,48.3013,POINT (-71.1287 48.3013),No data
NL-MAIN-06a353b2-1,Long Harbour,-53.811792,47.410938,POINT (-53.811792 47.410938),No data
MB-MAIN-90b02c47-1,Manitoba Mill,-96.893633,50.130273,POINT (-96.893633 50.130273),No data
ON-MAIN-8869c24c-1,Mississauga,-79.6671,43.7058,POINT (-79.6671 43.7058),No data
ON-MAIN-f43e32c4-1,Mississauga,-79.57979,43.60506,POINT (-79.57979 43.60506),No data
AB-MAIN-feb0ef06-1,Navajo Metals Inc.,-114.032869,51.001803,POINT (-114.032869 51.001803),No data
QC-MAIN-2cd944d9-1,Niobec Converter,-71.158168,48.531738,POINT (-71.158168 48.531738),No data
ON-MAIN-dd48cf98-1,Ottawa,-75.69922,45.431332,POINT (-75.69922 45.431332),No data
ON-MAIN-2e8f3879-1,Ottawa Plant,-75.562391,45.298042,POINT (-75.562391 45.298042),No data
ON-MAIN-d1b9bbe6-1,Port Colborne,-79.24,42.883,POINT (-79.24 42.883),No data
ON-MAIN-7aca343d-1,Port Hope,-78.2943,43.9429,POINT (-78.2943 43.9429),No data
QC-MAIN-3af5b4c3-1,Port-Cartier,-66.797531,50.03213,POINT (-66.797531 50.03213),No data
BC-MAIN-bcfb90e1-1,Richmond,-123.092001,49.194196,POINT (-123.092001 49.194196),peat dominated
BC-MAIN-16a191d7-1,Richmond,-123.086842,49.201528,POINT (-123.086842 49.201528),peat dominated
QC-MAIN-662f8a99-1,Rio Tinto Iron and Titanium,-73.138424,46.045907,POINT (-73.138424 46.045907),No data
QC-MAIN-d7a77a42-1,Sainte-Catherine,-73.601869,45.402369,POINT (-73.601869 45.402369),No data
ON-MAIN-41376f49-1,Sault Ste. Marie Division,-84.395602,46.524326,POINT (-84.395602 46.524326),No data
MB-MAIN-a67682ea-1,Selkirk Division,-96.911166,50.133771,POINT (-96.911166 50.133771),No data
ON-MAIN-cc6e92f1-1,Smiths Falls Operation,-76.063979,44.912968,POINT (-76.063979 44.912968),No data
QC-MAIN-6cad640b-1,Sorel Forge,-73.124998,46.045865,POINT (-73.124998 46.045865),No data
ON-MAIN-ce39294f-1,Sudbury,-80.7993,46.5763,POINT (-80.7993 46.5763),No data
AB-MAIN-e029cb1f-1,The Cobalt Refinery Company Inc.,-113.19011,53.719929,POINT (-113.19011 53.719929),No data
BC-MAIN-9be7e69d-1,Trail,-117.7137,49.0999,POINT (-117.7137 49.0999),No data
QC-MAIN-746467df-1,Vaudreuil,-71.157919,48.428476,POINT (-71.157919 48.428476),No data
BC-MAIN-7470aff6-1,Victoria Depot,-123.37692,48.43732,POINT (-123.37692 48.43732),No data
ON-MAIN-10a30e3e-1,Welland Mill,-79.235065,42.998265,POINT (-79.235065 42.998265),No data
SK-MAIN-42af1816-1,Wheat City Metals Inc.,-104.639712,50.525046,POINT (-104.639712 50.525046),No data
ON-MAIN-34211858-1,Whitby Division,-78.910676,43.851906,POINT (-78.910676 43.851906),No data
ON-MAIN-1252073c-1,Whitby Mill,-78.91,43.86,POINT (-78.91 43.86),No data
QC-MAIN-a07b1ea4-2,Alma,-71.6897,48.5847,POINT (-71.6897 48.5847),No data
