row_id,climate_category_id,main_id,name,geometry,year,scenario,category
CC-599152a0-1991_2020-historical-1,BC-MAIN-599152a0,BC-MAIN-599152a0,Copper Mountain,POINT (-120.533 49.331),1991_2020,historical,"Dsb - Cold, dry summer, warm summer"
CC-bf503b6b-1991_2020-historical-1,BC-MAIN-bf503b6b,BC-MAIN-bf503b6b,Highland Valley,POINT (-121.0483 50.4855),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-3f490561-1991_2020-historical-1,BC-MAIN-3f490561,BC-MAIN-3f490561,Mount Polley,POINT (-121.633931 52.544959),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-6b4800fe-1991_2020-historical-1,BC-MAIN-6b4800fe,BC-MAIN-6b4800fe,Gibraltar,POINT (-122.28716 52.528495),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-ed23117f-1991_2020-historical-1,BC-MAIN-ed23117f,BC-MAIN-ed23117f,Mount Milligan,POINT (-124.031 55.118),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-23155c25-1991_2020-historical-1,BC-MAIN-23155c25,BC-MAIN-23155c25,Myra Falls,POINT (-125.59 49.57),1991_2020,historical,"Cfb - Temperate, no dry season, warm summer"
CC-8eb8be0d-1991_2020-historical-1,BC-MAIN-8eb8be0d,BC-MAIN-8eb8be0d,Red Chris,POINT (-129.78333 57.7),1991_2020,historical,"Dsc - Cold, dry summer, cold summer"
CC-857b7b89-1991_2020-historical-1,BC-MAIN-857b7b89,BC-MAIN-857b7b89,Brucejack,POINT (-130.21783 56.47554),1991_2020,historical,"ET - Polar, tundra"
CC-9e101b16-1991_2020-historical-1,BC-MAIN-9e101b16,BC-MAIN-9e101b16,Line Creek,POINT (-114.7833 49.95),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-48ad5435-1991_2020-historical-1,BC-MAIN-48ad5435,BC-MAIN-48ad5435,Elkview,POINT (-114.805 49.7431),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-c202b377-1991_2020-historical-1,BC-MAIN-c202b377,BC-MAIN-c202b377,Fording River,POINT (-114.830862 50.19817),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-2c4ceca5-1991_2020-historical-1,BC-MAIN-2c4ceca5,BC-MAIN-2c4ceca5,Greenhills,POINT (-114.877193 50.117858),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-afd7eec5-1991_2020-historical-1,BC-MAIN-afd7eec5,BC-MAIN-afd7eec5,Wolverine,POINT (-121.2453 55.0861),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-becbbe67-1991_2020-historical-1,BC-MAIN-becbbe67,BC-MAIN-becbbe67,Brule,POINT (-121.832 55.398),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-fb4d0c45-1991_2020-historical-1,BC-MAIN-fb4d0c45,BC-MAIN-fb4d0c45,Willow Creek,POINT (-122.2222 55.607),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-44857446-1991_2020-historical-1,YT-MAIN-44857446,YT-MAIN-44857446,Keno Hill Silver District,POINT (-135.4833 63.9167),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-e05ed9fe-1991_2020-historical-1,YT-MAIN-e05ed9fe,YT-MAIN-e05ed9fe,Eagle (Dublin Gulch),POINT (-135.8456 64.0322),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-752fbcae-1991_2020-historical-1,YT-MAIN-752fbcae,YT-MAIN-752fbcae,Minto,POINT (-137.23858 62.618875),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-94e652a5-1991_2020-historical-1,NT-MAIN-94e652a5,NT-MAIN-94e652a5,Gahcho Kué,POINT (-109.21194 63.44528),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-0ec39ce0-1991_2020-historical-1,NT-MAIN-0ec39ce0,NT-MAIN-0ec39ce0,Diavik,POINT (-110.272 64.495),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-6c1d6ee6-1991_2020-historical-1,NT-MAIN-6c1d6ee6,NT-MAIN-6c1d6ee6,Ekati,POINT (-110.618 64.715),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-5154702a-1991_2020-historical-1,NU-MAIN-5154702a,NU-MAIN-5154702a,Mary River,POINT (-78.556869 71.340446),1991_2020,historical,"ET - Polar, tundra"
CC-8b0264c9-1991_2020-historical-1,NU-MAIN-8b0264c9,NU-MAIN-8b0264c9,Meliadine,POINT (-92.220206 63.031529),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-730aefe3-1991_2020-historical-1,NU-MAIN-730aefe3,NU-MAIN-730aefe3,Meadowbank,POINT (-96.071313 65.0199956),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-4ea8ac9d-1991_2020-historical-1,NU-MAIN-4ea8ac9d,NU-MAIN-4ea8ac9d,Amaruq,POINT (-96.697 65.415),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-d9036091-1991_2020-historical-1,NL-MAIN-d9036091,NL-MAIN-d9036091,Long Harbour,POINT (-53.811792 47.410938),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-8d6616b4-1991_2020-historical-1,QC-MAIN-8d6616b4,QC-MAIN-8d6616b4,Alouette,POINT (-66.4429 50.1571),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-52c01ae4-1991_2020-historical-1,QC-MAIN-52c01ae4,QC-MAIN-52c01ae4,Baie-Comeau,POINT (-68.1491 49.2562),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-01c1e81f-1991_2020-historical-1,QC-MAIN-01c1e81f,QC-MAIN-01c1e81f,Grande-Baie,POINT (-70.9258 48.3058),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-c0e3a48b-1991_2020-historical-1,QC-MAIN-c0e3a48b,QC-MAIN-c0e3a48b,Laterrière,POINT (-71.1287 48.3013),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-92628f16-1991_2020-historical-1,QC-MAIN-92628f16,QC-MAIN-92628f16,Vaudreuil,POINT (-71.157919 48.428476),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
