npv_id,main_id,name,latitude,longitude,biome_type,geometry
NU-MAIN-4ea8ac9d,NU-MAIN-4ea8ac9d,Amaruq,65.415,-96.697,,POINT (-96.697 65.415)
NL-MAIN-d9036091,NL-MAIN-d9036091,Long Harbour,47.410938,-53.811792,Cool Mixed Forest,POINT (-53.811792 47.410938)
QC-MAIN-8d6616b4,QC-MAIN-8d6616b4,Alouette,50.1571,-66.4429,Cool Mixed Forest,POINT (-66.4429 50.1571)
QC-MAIN-52c01ae4,QC-MAIN-52c01ae4,Baie-Comeau,49.2562,-68.1491,Cool Mixed Forest,POINT (-68.1491 49.2562)
QC-MAIN-01c1e81f,QC-MAIN-01c1e81f,Grande-Baie,48.3058,-70.9258,Cool Mixed Forest,POINT (-70.9258 48.3058)
QC-MAIN-c0e3a48b,QC-MAIN-c0e3a48b,Laterrière,48.3013,-71.1287,Cool Mixed Forest,POINT (-71.1287 48.3013)
QC-MAIN-92628f16,QC-MAIN-92628f16,Vaudreuil,48.428476,-71.157919,Cool Mixed Forest,POINT (-71.157919 48.428476)
QC-MAIN-c1c7eb99,QC-MAIN-c1c7eb99,Arvida,48.430174,-71.165521,Cool Mixed Forest,POINT (-71.165521 48.430174)
QC-MAIN-3aa117d8,QC-MAIN-3aa117d8,Alma,48.5847,-71.6897,Cool Mixed Forest,POINT (-71.6897 48.5847)
QC-MAIN-eac5a52b,QC-MAIN-eac5a52b,Deschambault,46.6939,-71.9467,Cool Mixed Forest,POINT (-71.9467 46.6939)
QC-MAIN-c8966bdc,QC-MAIN-c8966bdc,Bécancour,46.381,-72.3852,Cool Mixed Forest,POINT (-72.3852 46.381)
QC-MAIN-529c96b4,QC-MAIN-529c96b4,CCR,45.627518,-73.511778,Cool Mixed Forest,POINT (-73.511778 45.627518)
QC-MAIN-4f03382f,QC-MAIN-4f03382f,Sainte-Catherine,45.402369,-73.601869,Cool Mixed Forest,POINT (-73.601869 45.402369)
QC-MAIN-abb3e1c7,QC-MAIN-abb3e1c7,General Smelting Company of Canada,45.448518,-73.676345,Cool Mixed Forest,POINT (-73.676345 45.448518)
QC-MAIN-de3d8b7b,QC-MAIN-de3d8b7b,Canadian Electrolytic Zinc Limited (CEZinc),45.228312,-74.097205,,POINT (-74.097205 45.228312)
QC-MAIN-30c1828c,QC-MAIN-30c1828c,Horne,48.2534,-79.0151,Cool Mixed Forest,POINT (-79.0151 48.2534)
ON-MAIN-dca9cce7,ON-MAIN-dca9cce7,Ottawa,45.431332,-75.69922,,POINT (-75.69922 45.431332)
ON-MAIN-237587f6,ON-MAIN-237587f6,Port Hope,43.9429,-78.2943,,POINT (-78.2943 43.9429)
ON-MAIN-2e13aaa0,ON-MAIN-2e13aaa0,Port Colborne,42.883,-79.24,Cool Mixed Forest,POINT (-79.24 42.883)
ON-MAIN-137bbc71,ON-MAIN-137bbc71,Mississauga,43.60506,-79.57979,Cool Mixed Forest,POINT (-79.57979 43.60506)
ON-MAIN-b466361f,ON-MAIN-b466361f,Mississauga,43.7058,-79.6671,Cool Mixed Forest,POINT (-79.6671 43.7058)
ON-MAIN-e928d96a,ON-MAIN-e928d96a,Brampton,43.691066,-79.722125,Cool Mixed Forest,POINT (-79.722125 43.691066)
ON-MAIN-40ce0593,ON-MAIN-40ce0593,Sudbury,46.5763,-80.7993,Cool Mixed Forest,POINT (-80.7993 46.5763)
ON-MAIN-63b394c3,ON-MAIN-63b394c3,Copper Cliff Complex,46.4801,-81.0569,Cool Mixed Forest,POINT (-81.0569 46.4801)
ON-MAIN-484e4fa3,ON-MAIN-484e4fa3,Blind River,46.180896,-83.017246,Cool Mixed Forest,POINT (-83.017246 46.180896)
AB-MAIN-d3a4aba9,AB-MAIN-d3a4aba9,The Cobalt Refinery Company Inc.,53.719929,-113.19011,Cold Evergreen Needleleaf Forest,POINT (-113.19011 53.719929)
AB-MAIN-8434dce0,AB-MAIN-8434dce0,Baymag,51.060022,-115.210061,Cold Evergreen Needleleaf Forest,POINT (-115.210061 51.060022)
BC-MAIN-3bb6b7cd,BC-MAIN-3bb6b7cd,Trail,49.0999,-117.7137,Cool Evergreen Needleleaf Forest,POINT (-117.7137 49.0999)
BC-MAIN-d9e2f362,BC-MAIN-d9e2f362,Richmond,49.194196,-123.092001,,POINT (-123.092001 49.194196)
BC-MAIN-eb47f7c7,BC-MAIN-eb47f7c7,Kitimat,53.9976,-128.6954,Cool Evergreen Needleleaf Forest,POINT (-128.6954 53.9976)
QC-MAIN-5398dfac,QC-MAIN-5398dfac,Elkem Chicoutimi,48.412769,-71.131239,Cool Mixed Forest,POINT (-71.131239 48.412769)
QC-MAIN-649d2873,QC-MAIN-649d2873,Niobec Converter,48.531738,-71.158168,Cool Mixed Forest,POINT (-71.158168 48.531738)
QC-MAIN-c1cc9f7c,QC-MAIN-c1cc9f7c,Becancour Silicon,46.37,-72.39,Cool Mixed Forest,POINT (-72.39 46.37)
ON-MAIN-470b504b,ON-MAIN-470b504b,Ottawa Plant,45.298042,-75.562391,Cool Mixed Forest,POINT (-75.562391 45.298042)
QC-MAIN-e25eed27,QC-MAIN-e25eed27,Port-Cartier,50.03213,-66.797531,Cool Mixed Forest,POINT (-66.797531 50.03213)
QC-MAIN-6a26086e,QC-MAIN-6a26086e,Sorel Forge,46.045865,-73.124998,Cool Mixed Forest,POINT (-73.124998 46.045865)
QC-MAIN-3e146840,QC-MAIN-3e146840,Rio Tinto Iron and Titanium,46.045907,-73.138424,Cool Mixed Forest,POINT (-73.138424 46.045907)
QC-MAIN-1eee4ace,QC-MAIN-1eee4ace,Contrecœur East,45.837723,-73.249081,Cool Mixed Forest,POINT (-73.249081 45.837723)
QC-MAIN-844dcc47,QC-MAIN-844dcc47,Contrecœur West,45.819938,-73.263268,Cool Mixed Forest,POINT (-73.263268 45.819938)
ON-MAIN-fc6f1a44,ON-MAIN-fc6f1a44,Ivaco Rolling Mills,45.6119,-74.704435,Cool Mixed Forest,POINT (-74.704435 45.6119)
ON-MAIN-21b6ab35,ON-MAIN-21b6ab35,Whitby Mill,43.86,-78.91,Cool Mixed Forest,POINT (-78.91 43.86)
ON-MAIN-387b06fe,ON-MAIN-387b06fe,Welland Mill,42.998265,-79.235065,Cool Mixed Forest,POINT (-79.235065 42.998265)
ON-MAIN-4c35e094,ON-MAIN-4c35e094,ArcelorMittal Dofasco,43.269132,-79.805204,Cool Mixed Forest,POINT (-79.805204 43.269132)
ON-MAIN-020a683c,ON-MAIN-020a683c,Hamilton Works,43.275,-79.819,Cool Mixed Forest,POINT (-79.819 43.275)
ON-MAIN-b2e5c9bb,ON-MAIN-b2e5c9bb,Lake Erie Works,42.8001,-80.0937,Cool Mixed Forest,POINT (-80.0937 42.8001)
ON-MAIN-bddeaef0,ON-MAIN-bddeaef0,Cambridge Mill,43.37,-80.28,Cool Mixed Forest,POINT (-80.28 43.37)
ON-MAIN-eab8c362,ON-MAIN-eab8c362,Algoma Steel,46.52055,-84.36664,Cool Mixed Forest,POINT (-84.36664 46.52055)
MB-MAIN-b4ca1426,MB-MAIN-b4ca1426,Manitoba Mill,50.130273,-96.893633,Cool Mixed Forest,POINT (-96.893633 50.130273)
SK-MAIN-26b9aaf3,SK-MAIN-26b9aaf3,EVRAZ Regina,50.515263,-104.623843,Steppe,POINT (-104.623843 50.515263)
AB-MAIN-9fed34a8,AB-MAIN-9fed34a8,AltaSteel,53.492783,-113.387962,Cold Evergreen Needleleaf Forest,POINT (-113.387962 53.492783)
NB-MAIN-9e0c4fb2,NB-MAIN-9e0c4fb2,AIM Recycling Atlantic,45.261306,-66.064603,Cool Mixed Forest,POINT (-66.064603 45.261306)
QC-MAIN-15d7c629,QC-MAIN-15d7c629,AIM Recycling Lévis,46.74789,-71.177734,Cool Mixed Forest,POINT (-71.177734 46.74789)
QC-MAIN-30ff61c3,QC-MAIN-30ff61c3,Contrecœur-Feruni,45.83316,-73.260949,Cool Mixed Forest,POINT (-73.260949 45.83316)
QC-MAIN-abe563b5,QC-MAIN-abe563b5,AIM Recycling La Prairie,45.396324,-73.500867,Cool Mixed Forest,POINT (-73.500867 45.396324)
QC-MAIN-41bf5ea5,QC-MAIN-41bf5ea5,AIM Recycling Montréal-Est,45.6309,-73.5522,Cool Mixed Forest,POINT (-73.5522 45.6309)
QC-MAIN-bebff037,QC-MAIN-bebff037,A.S.I. - Ste Catherine,45.397642,-73.60497,Cool Mixed Forest,POINT (-73.60497 45.397642)
QC-MAIN-a1159813,QC-MAIN-a1159813,AIM Recycling Laval,45.66641,-73.644813,Cool Mixed Forest,POINT (-73.644813 45.66641)
ON-MAIN-8056a739,ON-MAIN-8056a739,AIM Recycling Ottawa East,45.407485,-75.606364,Cool Mixed Forest,POINT (-75.606364 45.407485)
ON-MAIN-4440c34c,ON-MAIN-4440c34c,Smiths Falls Operation,44.912968,-76.063979,Cool Mixed Forest,POINT (-76.063979 44.912968)
ON-MAIN-6bd6cc80,ON-MAIN-6bd6cc80,Kingston Operation,44.2615,-76.5121,Cool Mixed Forest,POINT (-76.5121 44.2615)
ON-MAIN-92cdea80,ON-MAIN-92cdea80,Whitby Division,43.851906,-78.910676,Cool Mixed Forest,POINT (-78.910676 43.851906)
ON-MAIN-75f260ea,ON-MAIN-75f260ea,Brampton Division,43.736239,-79.666841,Cool Mixed Forest,POINT (-79.666841 43.736239)
ON-MAIN-9623499f,ON-MAIN-9623499f,AIM Recycling Hamilton,43.259378,-79.778036,Cool Mixed Forest,POINT (-79.778036 43.259378)
ON-MAIN-59a49b3e,ON-MAIN-59a49b3e,Hamilton Parkdale Division,43.260957,-79.782925,Cool Mixed Forest,POINT (-79.782925 43.260957)
ON-MAIN-00855a72,ON-MAIN-00855a72,Sault Ste. Marie Division,46.524326,-84.395602,Cool Mixed Forest,POINT (-84.395602 46.524326)
MB-MAIN-0d5c2cae,MB-MAIN-0d5c2cae,Selkirk Division,50.133771,-96.911166,Cool Mixed Forest,POINT (-96.911166 50.133771)
MB-MAIN-c3d6d0d2,MB-MAIN-c3d6d0d2,General Scrap,49.928603,-97.019187,Cool Mixed Forest,POINT (-97.019187 49.928603)
MB-MAIN-d7217475,MB-MAIN-d7217475,Industrial Metals,49.88847,-97.098232,Cool Mixed Forest,POINT (-97.098232 49.88847)
SK-MAIN-5faf4b42,SK-MAIN-5faf4b42,Wheat City Metals Inc.,50.525046,-104.639712,Steppe,POINT (-104.639712 50.525046)
AB-MAIN-575ff9de,AB-MAIN-575ff9de,GenAlta Recycling Inc.,53.588119,-113.274102,Cold Evergreen Needleleaf Forest,POINT (-113.274102 53.588119)
