main_id,facility_name,geometry,jung_priority_point,jung_priority_mean_50km,source_id
MB-MAIN-f7fde5b4,Minago,POINT (-99.21911999999999 54.109199999999994),21.358134337545707,19.0,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-ae473a4e,Lac Knife,POINT (-67.18178999999999 52.54973999999999),18.41139952605181,20.675324675324674,https://doi.org/10.5281/zenodo.5006332
SK-MAIN-7a11ae49,McIlvenna Bay,POINT (-102.89498 54.65977),17.817308693068384,22.65,https://doi.org/10.5281/zenodo.5006332
AB-MAIN-ca9625ce,Fortune Minerals Refinery,POINT (-112.51350199999999 53.79761499999999),65.21359562590226,61.67948717948718,https://doi.org/10.5281/zenodo.5006332
NT-MAIN-b7cdf82c,NICO,POINT (-116.74582999999997 63.54999999999997),47.755469287070724,47.37179487179487,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-d47616e5,Martison,POINT (-83.41444399999999 50.31444399999998),15.210660901053187,15.460526315789474,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-e1641dfb,Decar,POINT (-125.35969100000001 54.89451299999998),45.70222283888373,42.857142857142854,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-c06904f0,Pakeagama,POINT (-93.37727000000001 52.60026),25.40932513501283,23.82051282051282,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-64bbe7e6,Marathon,POINT (-86.3263 48.787580000000005),30.964965199412582,24.0,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-22426144,REE Recycling Facility (Saint-Bruno),POINT (-73.340812 45.525976),32.813858642799715,33.875,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-0d5c2cae,Selkirk Division,POINT (-96.91116600000001 50.133771),44.49954416441354,41.78481012658228,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-92cdea80,Whitby Division,POINT (-78.91067599999998 43.85190599999999),44.0,45.42,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-bddeaef0,Cambridge Mill,POINT (-80.28 43.36999999999998),44.53223206576523,44.69135802469136,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-b4ca1426,Manitoba Mill,POINT (-96.893633 50.130272999999995),44.200204543100575,41.743589743589745,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-21b6ab35,Whitby Mill,POINT (-78.91 43.859999999999985),44.0,45.3469387755102,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-de3d8b7b,Canadian Electrolytic Zinc Limited (CEZinc),POINT (-74.097205 45.228312),32.16891588268851,32.848101265822784,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-529c96b4,CCR,POINT (-73.511778 45.627518),40.96472511891879,32.77215189873418,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-206041d1,Fraser,POINT (-81.34039999999999 46.663300000000014),35.04844090805862,33.888888888888886,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-abb3e1c7,General Smelting Company of Canada,POINT (-73.67634499999998 45.44851800000001),29.692496053699866,32.89873417721519,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-30c1828c,Horne,POINT (-79.0151 48.2534),30.930681333036173,23.064102564102566,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-f8313ebd,Kidd Creek,POINT (-81.36999999999998 48.68939999999998),26.823989506525177,21.64,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-fcb287a4,Nickel Rim South,POINT (-80.79679299999997 46.65798199999998),40.104995995688995,34.8051948051948,https://doi.org/10.5281/zenodo.5006332
