main_id,facility_name,longitude,latitude,geometry,peatland_presence,source_id
ON-MAIN-c06904f0,Pakeagama,-93.37727,52.60026,POINT (-93.37727 52.60026),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-64bbe7e6,Marathon,-86.3263,48.78758,POINT (-86.3263 48.78758),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-22426144,REE Recycling Facility (Saint-Bruno),-73.340812,45.525976,POINT (-73.340812 45.525976),No data,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-0d5c2cae,Selkirk Division,-96.911166,50.133771,POINT (-96.911166 50.133771),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-92cdea80,Whitby Division,-78.910676,43.851906,POINT (-78.910676 43.851906),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-bddeaef0,Cambridge Mill,-80.28,43.37,POINT (-80.28 43.37),No data,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-b4ca1426,Manitoba Mill,-96.893633,50.130273,POINT (-96.893633 50.130273),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-21b6ab35,Whitby Mill,-78.91,43.86,POINT (-78.91 43.86),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-de3d8b7b,Canadian Electrolytic Zinc Limited (CEZinc),-74.097205,45.228312,POINT (-74.097205 45.228312),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-529c96b4,CCR,-73.511778,45.627518,POINT (-73.511778 45.627518),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-206041d1,Fraser,-81.3404,46.6633,POINT (-81.3404 46.6633),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-abb3e1c7,General Smelting Company of Canada,-73.676345,45.448518,POINT (-73.676345 45.448518),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-30c1828c,Horne,-79.0151,48.2534,POINT (-79.0151 48.2534),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-f8313ebd,Kidd Creek,-81.37,48.6894,POINT (-81.37 48.6894),peat dominated,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-fcb287a4,Nickel Rim South,-80.796793,46.657982,POINT (-80.796793 46.657982),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-319e04a8,Onaping Depth,-81.383878,46.632019,POINT (-81.383878 46.632019),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-a97821c0,Raglan,-73.674669,61.687171,POINT (-73.674669 61.687171),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-ed85ac94,Strathcona,-81.3427,46.6734,POINT (-81.3427 46.6734),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-40ce0593,Sudbury,-80.7993,46.5763,POINT (-80.7993 46.5763),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-4724f4ba,Elk,-120.31487,49.8538,POINT (-120.31487 49.8538),No data,https://greifswaldmoor.de/global-peatland-database-en.html
YT-MAIN-956d050a,Carmacks,-136.7,62.33,POINT (-136.7 62.33),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-97ee890f,Seymour Lake,-88.4491,50.40987,POINT (-88.4491 50.40987),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-27a90834,Makwa Mayville,-95.60953,50.6298,POINT (-95.60953 50.6298),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
SK-MAIN-fbe28fef,Kindersley Lithium,-109.19120556,51.73894139,POINT (-109.19120556 51.73894139),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-b031959a,Turnagain,-128.86282,58.47856,POINT (-128.86282 58.47856),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-b86f7d07,Casa Berardi,-79.231307,49.5719,POINT (-79.231307 49.5719),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
YT-MAIN-44857446,Keno Hill Silver District,-135.4833,63.9167,POINT (-135.4833 63.9167),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
YT-MAIN-c3105f43,Rackla Gold,-134.41278,64.19667,POINT (-134.41278 64.19667),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-fc6f1a44,Ivaco Rolling Mills,-74.704435,45.6119,POINT (-74.704435 45.6119),No data,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-e2e67f8f,1901,-100.134,54.8557,POINT (-100.134 54.8557),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-599152a0,Copper Mountain,-120.533,49.331,POINT (-120.533 49.331),No data,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-be5b3dc8,Lalor Lake,-100.13333,54.86667,POINT (-100.13333 54.86667),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-da0b5c3d,New Britannia,-100.024002,54.886349,POINT (-100.024002 54.886349),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-c0684566,Rail,-100.5916,54.7463,POINT (-100.5916 54.7463),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-0898e255,Stall Lake,-99.9451,54.85692,POINT (-99.9451 54.85692),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-854abe09,Talbot,-99.6343,54.1133,POINT (-99.6343 54.1133),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-1a82a1b7,Tower,-99.2284,53.9623,POINT (-99.2284 53.9623),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-b5b81ee3,Wim,-100.05248,55.02136,POINT (-100.05248 55.02136),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-02884fb5,Westwood-Doyon,-78.502,48.256,POINT (-78.502 48.256),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-a3c56a83,Lac des Iles,-89.6105,49.1691,POINT (-89.6105 49.1691),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-3f490561,Mount Polley,-121.633931,52.544959,POINT (-121.633931 52.544959),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-586679b9,Crater Lake,-63.8991,55.35025,POINT (-63.8991 55.35025),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NL-MAIN-dd723db4,Carol Lake,-66.936774,53.039755,POINT (-66.936774 53.039755),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-7001a391,McCreedy West,-81.39894,46.638059,POINT (-81.39894 46.638059),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-9a34108c,Victoria,-81.38333,46.41667,POINT (-81.38333 46.41667),No data,https://greifswaldmoor.de/global-peatland-database-en.html
