main_id,indigenous_land_id,distance_to_centroid_m,distance_to_edge_m
SK-MAIN-52fbe54e-1,ZZ-IND-209721ae-1,7967.17,6549.05
SK-MAIN-52fbe54e-1,ZZ-IND-d0344c18-1,4876.98,4026.05
SK-MAIN-52fbe54e-1,ZZ-IND-2597fd28-1,9260.69,3728.55
SK-MAIN-52fbe54e-1,ZZ-IND-e74532a5-1,9331.96,8903.35
SK-MAIN-52fbe54e-1,ZZ-IND-2f2fa255-1,6984.59,6437.17
SK-MAIN-52fbe54e-1,ZZ-IND-0288f573-1,6405.21,5397.81
SK-MAIN-52fbe54e-1,ZZ-IND-c636a714-1,6185.74,4626.81
SK-MAIN-52fbe54e-1,ZZ-IND-98b14c3c-1,4648.44,473.95
SK-MAIN-52fbe54e-1,ZZ-IND-53f23511-1,5399.1,4329.15
SK-MAIN-52fbe54e-1,ZZ-IND-93d6c329-1,5303.68,3862.85
SK-MAIN-52fbe54e-1,ZZ-IND-6d279eee-1,8248.17,7690.34
SK-MAIN-52fbe54e-1,ZZ-IND-38df8b46-1,9014.04,8613.3
SK-MAIN-52fbe54e-1,ZZ-IND-3e9ea186-1,5910.74,5365.53
SK-MAIN-52fbe54e-1,ZZ-IND-d6692bff-1,8387.19,7853.55
SK-MAIN-52fbe54e-1,ZZ-IND-6cfa0864-1,8549.57,6807.22
SK-MAIN-52fbe54e-1,ZZ-IND-98ea287e-1,7050.37,5921.9
SK-MAIN-52fbe54e-1,ZZ-IND-2fd028a3-1,5115.26,4547.06
SK-MAIN-52fbe54e-1,ZZ-IND-a8cf026d-1,9803.05,9348.41
SK-MAIN-52fbe54e-1,ZZ-IND-0216351f-1,8054.42,7537.73
SK-MAIN-52fbe54e-1,ZZ-IND-d857f0ff-1,5587.24,3892.93
SK-MAIN-52fbe54e-1,ZZ-IND-4f2529e3-1,6560.89,6004.03
SK-MAIN-52fbe54e-1,ZZ-IND-3130d831-1,4367.07,3738.51
SK-MAIN-52fbe54e-1,ZZ-IND-c251f309-1,2144.97,1101.63
SK-MAIN-52fbe54e-1,ZZ-IND-00afad38-1,5250.44,3426.18
SK-MAIN-52fbe54e-1,ZZ-IND-26700d44-1,8220.11,7695.11
SK-MAIN-52fbe54e-1,ZZ-IND-8be441d6-1,10355.5,9144.11
SK-MAIN-52fbe54e-1,ZZ-IND-b94aecee-1,9294.7,8758.48
SK-MAIN-52fbe54e-1,ZZ-IND-47e80524-1,9921.82,7406.76
SK-MAIN-52fbe54e-1,ZZ-IND-bef569bf-1,8809.51,8061.42
SK-MAIN-52fbe54e-1,ZZ-IND-4643cb7e-1,8433.72,7693.17
SK-MAIN-52fbe54e-1,ZZ-IND-8f398fcc-1,10272.03,8749.37
SK-MAIN-52fbe54e-1,ZZ-IND-74303166-1,10373.14,9834.12
MB-MAIN-2ee057b8-1,,,
SK-MAIN-ab9c65a7-1,,,
SK-MAIN-86dd1c37-1,,,
SK-MAIN-640b427c-1,,,
QC-MAIN-e066357e-1,,,
QC-MAIN-e363e5b1-1,,,
NT-MAIN-0f6cb3ad-1,,,
NL-MAIN-da3b3dae-1,,,
SK-MAIN-98848a83-1,ZZ-IND-0a2d6c2d-1,5723.99,5695.36
SK-MAIN-98848a83-1,ZZ-IND-8075c95f-1,8393.53,7679.8
SK-MAIN-98848a83-1,ZZ-IND-e5489278-1,4809.54,4794.78
SK-MAIN-98848a83-1,ZZ-IND-f3658d4d-1,153225.42,8211.95
SK-MAIN-98848a83-1,ZZ-IND-f701c5e9-1,3154.03,2908.01
SK-MAIN-98848a83-1,ZZ-IND-6b00d078-1,199947.86,2782.66
ON-MAIN-e116f385-2,,,
QC-MAIN-1fabc906-1,,,
SK-MAIN-53a8c866-1,ZZ-IND-0a2d6c2d-1,6378.14,6348.08
SK-MAIN-53a8c866-1,ZZ-IND-e5489278-1,6166.95,6147.44
SK-MAIN-53a8c866-1,ZZ-IND-f3658d4d-1,149252.52,3783.8
SK-MAIN-53a8c866-1,ZZ-IND-f701c5e9-1,7211.37,6902.62
SK-MAIN-53a8c866-1,ZZ-IND-6b00d078-1,201543.59,5674.51
QC-MAIN-8fcacde6-1,,,
BC-MAIN-f80e2913-1,,,
QC-MAIN-cfde9015-1,,,
NT-MAIN-0f6cb3ad-2,,,
QC-MAIN-6232bf35-1,,,
QC-MAIN-f7b40585-2,,,
QC-MAIN-dd392d35-1,,,
BC-MAIN-fa8dd7ae-1,,,
NS-MAIN-6c39ff7e-1,,,
NB-MAIN-a4415da5-1,,,
NT-MAIN-03e8cde6-1,,,
YT-MAIN-56c18e10-1,ZZ-IND-99baa8fb-1,365630.97,1907.4
YT-MAIN-43994b92-1,,,
NB-MAIN-7b6678ae-1,,,
SK-MAIN-1dda9c9d-1,,,
SK-MAIN-11948fa6-1,,,
NU-MAIN-af98f320-1,ZZ-IND-e75f313f-1,21918.46,3375.26
NU-MAIN-af98f320-1,ZZ-IND-a5ee95bc-1,595410.98,3366.89
NL-MAIN-9ee6abcb-1,,,
SK-MAIN-e95a9d65-1,,,
SK-MAIN-6e2b2410-1,,,
SK-MAIN-a584d05d-1,,,
SK-MAIN-b0e502f0-1,,,
SK-MAIN-19e40503-1,,,
SK-MAIN-b99b2981-1,,,
SK-MAIN-85cc24e6-1,,,
AB-MAIN-5886ad62-1,,,
QC-MAIN-958e6b58-1,ZZ-IND-e4ee6ae5-1,11668.43,5495.36
ON-MAIN-1eff4e4b-1,,,
YT-MAIN-777864fa-1,ZZ-IND-50397080-1,32836.13,3463.69
QC-MAIN-53721d44-1,,,
BC-MAIN-eb5b0a1d-2,,,
NU-MAIN-3a15ba90-1,ZZ-IND-cde1dfbe-1,122014.96,648.57
NT-MAIN-969facce-1,,,
YT-MAIN-860ad5a3-1,,,
YT-MAIN-80c56f4b-1,,,
NL-MAIN-d57abb7f-1,,,
NU-MAIN-9aa02969-1,ZZ-IND-d367fd3a-1,107225.78,33.58
YT-MAIN-c333e0eb-1,,,
QC-MAIN-31d99c67-1,,,
NS-MAIN-10a1b988-1,ZZ-IND-f41972d7-1,13283.07,9638.35
BC-MAIN-360b5bc6-1,,,
YT-MAIN-2e6786ff-1,ZZ-IND-99baa8fb-1,375957.66,8611.82
NB-MAIN-cd82270d-1,,,
NT-MAIN-9d6f2c07-1,,,
NB-MAIN-97cfe920-1,,,
NB-MAIN-658c67a1-1,,,
NB-MAIN-100864a2-1,,,
NB-MAIN-e2850267-1,,,
QC-MAIN-768b402a-1,,,
QC-MAIN-7c67a92e-1,,,
,ZZ-IND-9971f887-1,,
,ZZ-IND-4ad5f2cb-1,,
,ZZ-IND-4e8f2d47-1,,
,ZZ-IND-9c6f512c-1,,
,ZZ-IND-469943e3-1,,
,ZZ-IND-e60b1a2f-1,,
,ZZ-IND-b5cb402a-1,,
,ZZ-IND-43abc64c-1,,
,ZZ-IND-0c20a04e-1,,
,ZZ-IND-482955ba-1,,
,ZZ-IND-41193eb1-1,,
,ZZ-IND-e3922ec0-1,,
,ZZ-IND-8d414fba-1,,
,ZZ-IND-e413b39a-1,,
,ZZ-IND-bb33c854-1,,
,ZZ-IND-b062c196-1,,
,ZZ-IND-1241df52-1,,
,ZZ-IND-ffc9c4b5-1,,
,ZZ-IND-7c5c853a-1,,
,ZZ-IND-38879fc1-1,,
,ZZ-IND-881cb2c6-1,,
,ZZ-IND-f8c7e1b8-1,,
,ZZ-IND-55556aa8-1,,
,ZZ-IND-9b7d5acd-1,,
,ZZ-IND-c336fbf9-1,,
,ZZ-IND-15e43433-1,,
,ZZ-IND-33f40b88-1,,
,ZZ-IND-45f3a103-1,,
,ZZ-IND-aecdd924-1,,
,ZZ-IND-8c06aed2-1,,
,ZZ-IND-c648dbfc-1,,
,ZZ-IND-03e76f35-1,,
,ZZ-IND-d70a4dd3-1,,
,ZZ-IND-5aeeb4c5-1,,
,ZZ-IND-01778926-1,,
,ZZ-IND-c25d4d3d-1,,
,ZZ-IND-29918e1a-1,,
,ZZ-IND-3c33bbcd-1,,
,ZZ-IND-db32592c-1,,
,ZZ-IND-008e6a80-1,,
,ZZ-IND-eab98272-1,,
,ZZ-IND-8235126a-1,,
,ZZ-IND-5d84dc5c-1,,
,ZZ-IND-4a6a5f07-1,,
,ZZ-IND-29ef74d2-1,,
,ZZ-IND-f2c6f205-1,,
,ZZ-IND-48e307db-1,,
,ZZ-IND-82b6f2c2-1,,
