main_id,tang_id,distance_to_centroid_m,distance_to_edge_m
ON-MAIN-efe5148b-1,ON-TANG-21fa3147-1,1413.61,813.67
ON-MAIN-efe5148b-1,ON-TANG-aadabfff-1,2465.88,2323.75
ON-MAIN-efe5148b-1,ON-TANG-0a9b0d08-1,2160.22,2015.14
ON-MAIN-efe5148b-1,ON-TANG-79471a4d-1,2502.74,2227.36
ON-MAIN-efe5148b-1,ON-TANG-c4cfe8d8-1,2079.51,1924.67
ON-MAIN-efe5148b-1,ON-TANG-2244a0dd-1,2664.04,2533.06
ON-MAIN-efe5148b-1,ON-TANG-f073b6fa-1,585.73,79.73
ON-MAIN-efe5148b-1,ON-TANG-66b092dc-1,1174.58,775.51
ON-MAIN-efe5148b-1,ON-TANG-e6a58832-1,5025.93,4565.28
ON-MAIN-efe5148b-1,ON-TANG-38ce298c-1,7553.89,6409.13
ON-MAIN-cb6d25a5-1,ON-TANG-8c76f1be-1,523.19,29.41
ON-MAIN-cb6d25a5-1,ON-TANG-a3adfda5-1,2128.54,1670.81
ON-MAIN-cb6d25a5-1,ON-TANG-453da99f-1,2408.77,1756.62
ON-MAIN-cb6d25a5-1,ON-TANG-d33f4fe2-1,9859.0,9006.85
ON-MAIN-578ec529-1,ON-TANG-22aec92a-1,7500.14,7422.36
ON-MAIN-578ec529-1,ON-TANG-3ed1f6d7-1,3880.09,3518.84
ON-MAIN-578ec529-1,ON-TANG-94208649-1,2367.6,2225.79
ON-MAIN-578ec529-1,ON-TANG-695a6d2b-1,2507.9,2413.93
ON-MAIN-578ec529-1,ON-TANG-511e5d83-1,2127.06,2048.22
ON-MAIN-578ec529-1,ON-TANG-5274804b-1,1578.61,1377.37
ON-MAIN-578ec529-1,ON-TANG-6d3e556f-1,1120.27,905.23
ON-MAIN-578ec529-1,ON-TANG-7343e59d-1,3543.36,3425.24
ON-MAIN-578ec529-1,ON-TANG-0def49c8-1,450.55,374.93
ON-MAIN-578ec529-1,ON-TANG-522a6c29-1,1969.53,1911.1
ON-MAIN-578ec529-1,ON-TANG-8b5faccd-1,1308.37,971.29
ON-MAIN-578ec529-1,ON-TANG-02a2d47e-1,1055.41,720.33
ON-MAIN-578ec529-1,ON-TANG-d3fa60a3-1,4492.84,4304.51
ON-MAIN-578ec529-1,ON-TANG-ead5c2d2-1,2475.06,1792.68
ON-MAIN-578ec529-1,ON-TANG-dbe4fbd2-1,4707.23,4523.58
ON-MAIN-578ec529-1,ON-TANG-61011326-1,2124.54,1624.47
ON-MAIN-578ec529-1,ON-TANG-4d5df50f-1,5662.85,5146.31
ON-MAIN-578ec529-1,ON-TANG-7f444ec0-1,2480.67,1631.48
ON-MAIN-578ec529-1,ON-TANG-6d4ac2ca-1,5036.62,4625.51
ON-MAIN-578ec529-1,ON-TANG-6efd13fa-1,5487.7,5239.68
ON-MAIN-578ec529-1,ON-TANG-a5d4135f-1,7625.09,7283.55
ON-MAIN-578ec529-1,ON-TANG-3c2e949b-1,8257.1,7782.96
QC-MAIN-e3cedb7d-1,QC-TANG-faaead22-1,1009.67,212.34
QC-MAIN-e3cedb7d-1,QC-TANG-ccd31c84-1,3600.89,3409.71
QC-MAIN-e3cedb7d-1,QC-TANG-7ebbb194-1,4969.53,4743.25
