main_id,mincan_id,distance_m,name,namemine,similarity_full_score,similarity_partial_score
QC-MAIN-b1e99caf-1,QC-MINCAN-2b8cf562-1,1137.47,Canadian Malartic,,9.523809523809524,28.57142857142857
QC-MAIN-b1e99caf-1,QC-MINCAN-f1f37674-1,5120.66,Canadian Malartic,East Amphi,22.22222222222222,40.0
QC-MAIN-b1e99caf-1,QC-MINCAN-691404ee-1,2462.89,Canadian Malartic,East Malartic,66.66666666666667,83.33333333333334
QC-MAIN-b1e99caf-1,QC-MINCAN-ae62b622-1,10926.06,Canadian Malartic,Norlartic,46.15384615384615,80.0
QC-MAIN-b1e99caf-1,QC-MINCAN-508dd259-1,8884.96,Canadian Malartic,,9.523809523809524,28.57142857142857
QC-MAIN-b1e99caf-1,QC-MINCAN-9bfd2efb-1,7852.24,Canadian Malartic,,9.523809523809524,28.57142857142857
QC-MAIN-547f4bc7-1,QC-MINCAN-031d9b4a-1,9339.4,Goldex,,40.0,50.0
QC-MAIN-547f4bc7-1,QC-MINCAN-6ccb3cc0-1,4592.64,Goldex,Kiena,18.181818181818176,28.57142857142857
QC-MAIN-547f4bc7-1,QC-MINCAN-88e87266-1,0.0,Goldex,Goldex,100.0,100.0
QC-MAIN-547f4bc7-1,QC-MINCAN-110653ed-1,17097.66,Goldex,Lac Herbin,12.5,18.181818181818176
QC-MAIN-547f4bc7-1,QC-MINCAN-91be3b21-1,17464.11,Goldex,Canadian Malartic,8.695652173913048,18.181818181818176
QC-MAIN-547f4bc7-1,QC-MINCAN-763f2bdd-1,8560.01,Goldex,Lamarque,14.28571428571429,28.57142857142857
QC-MAIN-547f4bc7-1,QC-MINCAN-16fe766c-1,4855.61,Goldex,,40.0,50.0
QC-MAIN-547f4bc7-1,QC-MINCAN-71b83c81-1,19449.35,Goldex,Canadian Malartic,8.695652173913048,18.181818181818176
QC-MAIN-547f4bc7-1,QC-MINCAN-0fe3711a-1,18027.28,Goldex,Mine Barnat (Sladen),23.076923076923073,50.0
QC-MAIN-547f4bc7-1,QC-MINCAN-2b8cf562-1,19419.65,Goldex,,40.0,50.0
QC-MAIN-547f4bc7-1,QC-MINCAN-69c7249a-1,19757.19,Goldex,Manitou-Barvue,19.999999999999996,28.57142857142857
QC-MAIN-547f4bc7-1,QC-MINCAN-7571a53f-1,12331.59,Goldex,Mine East Sullivan (Sullico),5.882352941176472,25.0
QC-MAIN-547f4bc7-1,QC-MINCAN-94109418-1,2377.8,Goldex,Joubi,18.181818181818176,28.57142857142857
QC-MAIN-547f4bc7-1,QC-MINCAN-8b33c1d7-1,14214.93,Goldex,Mine Bras D'Or (Zone Dumont),11.764705882352944,33.333333333333336
QC-MAIN-547f4bc7-1,QC-MINCAN-691404ee-1,17421.92,Goldex,East Malartic,10.526315789473683,16.666666666666664
QC-MAIN-547f4bc7-1,QC-MINCAN-ae62b622-1,10672.89,Goldex,Norlartic,26.66666666666667,40.0
QC-MAIN-547f4bc7-1,QC-MINCAN-508dd259-1,14083.44,Goldex,,40.0,50.0
QC-MAIN-547f4bc7-1,QC-MINCAN-9bfd2efb-1,13893.7,Goldex,,40.0,50.0
QC-MAIN-547f4bc7-1,QC-MINCAN-af9b8623-1,17368.03,Goldex,Mine Ferderber (Belmoral),12.903225806451612,36.36363636363637
