main_id,facility_type,Archetype table,By-product ratios table,Climate category table,Conflict table,Energy table,Environmental intensity table,Environmental flows table,Land cover table,Land occupation table,Peatland table,Population table,Prioritize conservation areas table,Production table,Protected & Indigenous land table,Reserves table,Tailings table,Water risk table,Weather table
BC-MAIN-B7591127,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,6,0,0,32,128
BC-MAIN-4959EA63,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,6,0,0,32,128
YT-MAIN-03A159D7,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
AB-MAIN-D3A4ABA9,manufacturing,0,0,9,0,0,0,0,1,0,1,4,1,6,35,0,0,32,128
ON-MAIN-F4FC3276,mining,1,0,9,0,0,0,0,1,0,1,4,1,2,9,4,0,32,128
MB-MAIN-915D9FAA,mining,1,0,9,0,0,0,0,1,3,1,4,1,0,12,0,0,32,128
BC-MAIN-B1FE389A,advanced project,0,0,9,0,0,0,0,1,1,1,4,1,0,7,0,2,32,128
QC-MAIN-1D2F31F9,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,4,0,0,32,128
NL-MAIN-BB23D8A6,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,0,0,0,32,128
SK-MAIN-22CE14BE,mining,0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
SK-MAIN-29AFBDB5,mining,0,0,9,0,0,0,185,1,5,1,4,1,0,3,0,4,32,128
NS-MAIN-C9C77A59,mining,1,0,9,0,0,0,0,1,2,1,4,1,0,122,2,0,32,128
ON-MAIN-020A683C,manufacturing,0,0,9,0,0,0,402,1,0,1,4,1,0,62,0,0,32,128
ON-MAIN-B2E5C9BB,manufacturing,0,0,9,0,0,0,472,1,0,1,4,1,0,86,0,0,32,128
QC-MAIN-3032C251,mining,1,0,9,0,0,0,1,1,7,1,4,1,0,2,0,0,32,128
QC-MAIN-B5937543,advanced project,0,0,9,0,0,0,0,1,2,1,4,1,0,27,0,0,32,128
QC-MAIN-64595B02,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,74,0,0,32,128
BC-MAIN-A505D25D,advanced project,0,0,9,0,0,0,0,1,2,1,4,1,0,8,0,0,32,128
BC-MAIN-C5D1B42D,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,10,0,0,32,128
QC-MAIN-6A26086E,manufacturing,0,0,9,0,0,0,0,1,0,1,4,1,0,138,0,0,32,128
NL-MAIN-B64BAE7A,mining,1,0,9,0,5,0,135,1,2,1,4,1,4,6,1,0,32,128
