main_id,mincan_id,distance_m,facility_name,namemine,similarity_partial_score,similarity_token_set
SK-MAIN-d5c9124e,SK-MINCAN-cc547f50,18044.1,Rare Earth Processing Facility,Patience Lake,40.0,32.55813953488372
QC-MAIN-c4fb59c2,,,Moblan,,,
QC-MAIN-1186a6d0,,,Authier,,,
QC-MAIN-dc1a16f9,,,North American Lithium,,,
BC-MAIN-b7591127,,,Iskut,,,
BC-MAIN-4959ea63,BC-MINCAN-492cfeba,7160.09,KSM,Brucejack,0.0,0.0
YT-MAIN-03a159d7,,,Selwyn,,,
AB-MAIN-d3a4aba9,AB-MINCAN-df542726,2743.4,The Cobalt Refinery Company Inc.,None,50.0,16.66666666666667
ON-MAIN-f4fc3276,ON-MINCAN-079b81a1,0.0,Sugar Zone,Sugar Zone,100.0,100.0
MB-MAIN-915d9faa,,,Tanco,,,
BC-MAIN-b1fe389a,,,Eskay Creek,,,
QC-MAIN-1d2f31f9,,,Kwyjibo,,,
NL-MAIN-bb23d8a6,,,Great Burnt Lake,,,
SK-MAIN-22ce14be,SK-MINCAN-5ac4b2dd,0.0,Santoy,Santoy 8,100.0,100.0
SK-MAIN-29afbdb5,SK-MINCAN-5ac4b2dd,12916.58,Seabee,Santoy 8,50.0,28.57142857142857
NS-MAIN-c9c77a59,NS-MINCAN-21b5fbce,0.0,Moose River Consolidated,Moose River Consolidated,100.0,100.0
ON-MAIN-020a683c,ON-MINCAN-923c108f,14913.9,Hamilton Works,Dundas Division,35.29411764705882,34.48275862068965
ON-MAIN-b2e5c9bb,,,Lake Erie Works,,,
QC-MAIN-3032c251,QC-MINCAN-72adc1b6,0.0,Renard,Renard,100.0,100.0
QC-MAIN-b5937543,,,Blackrock,,,
QC-MAIN-64595b02,,,Blackrock Pyrometallurgical Facility,,,
BC-MAIN-a505d25d,,,Ootsa,,,
BC-MAIN-c5d1b42d,,,Berg,,,
QC-MAIN-6a26086e,,,Sorel Forge,,,
NL-MAIN-b64bae7a,,,Scully,,,
NL-MAIN-18695c6d,,,Scully Mine - Manganese project,,,
ON-MAIN-1aa10efa,,,Kenbridge,,,
BC-MAIN-23f67ea8,,,Aley,,,
BC-MAIN-6b4800fe,BC-MINCAN-8cc41b53,150.27,Gibraltar,Gibraltar,100.0,100.0
BC-MAIN-18bed6d7,,,Yellowhead,,,
NL-MAIN-e09881ff,,,DSO (3 and 4),,,
QC-MAIN-b8c826a2,QC-MINCAN-a6cbac08,0.0,DSO (Goodwood),DSO (Goodwood),100.0,100.0
BC-MAIN-bf503b6b,,,Highland Valley,,,
BC-MAIN-193ddddb,,,Schaft Creek,,,
BC-MAIN-3bb6b7cd,,,Trail,,,
QC-MAIN-2587e541,,,Strange Lake,,,
BC-MAIN-23155c25,BC-MINCAN-595f5049,1117.69,Myra Falls,Myra Falls,100.0,100.0
YT-MAIN-68c87980,,,Freegold Mountain,,,
QC-MAIN-b2148882,,,Troilus,,,
ON-MAIN-4a6187a4,,,RapidSX Demonstration Plant,,,
SK-MAIN-9dd2b7f8,,,Horseshoe-Raven,,,
ON-MAIN-387b06fe,,,Welland Mill,,,
ON-MAIN-de2f9639,,,Clarabelle,,,
ON-MAIN-6e9b2449,ON-MINCAN-838ef03f,1560.47,Coleman,Fraser,25.0,15.384615384615387
ON-MAIN-6e9b2449,ON-MINCAN-fa8d0bc2,3478.52,Coleman,Levack,40.0,30.769230769230774
ON-MAIN-f080c409,,,Copper Cliff Complex,,,
ON-MAIN-63b394c3,,,Copper Cliff Complex,,,
ON-MAIN-52224e1e,ON-MINCAN-5ea38d2b,11641.85,Creighton,Lockerby,19.999999999999996,11.764705882352942
ON-MAIN-48fe2205,,,Garson,,,
ON-MAIN-2e13aaa0,,,Port Colborne,,,
MB-MAIN-e0a6250e,,,Thompson (T-1 and T-3),,,
ON-MAIN-28f3f0fc,ON-MINCAN-5ea38d2b,11732.69,Totten,Lockerby,36.36363636363637,28.57142857142857
ON-MAIN-28f3f0fc,ON-MINCAN-07ece30d,0.0,Totten,Totten,100.0,100.0
NL-MAIN-d9036091,,,Long Harbour,,,
NL-MAIN-2d8801d6,NL-MINCAN-d8d4cf69,376.77,Voisey’s Bay,Voisey's Bay,91.66666666666666,91.66666666666667
QC-MAIN-860bbbfc,,,Lac Doré Vanadium,,,
YT-MAIN-e05ed9fe,YT-MINCAN-8fada64a,0.0,Eagle (Dublin Gulch),Eagle (Dublin Gulch),100.0,100.0
QC-MAIN-d59f82aa,,,Sirmac,,,
NT-MAIN-b1b28b01,,,Nechalacho - T-Zone & Tardiff Zone,,,
AB-MAIN-63f096a6,,,Rainbow Lake,,,
QC-MAIN-be473617,QC-MINCAN-072223ba,19606.72,Mont Sorcier,Duvay-Obalski,15.384615384615385,8.0
ON-MAIN-3c468faa,,,Superior Lake,,,
ON-MAIN-cb85213a,ON-MINCAN-97f916de,13792.98,Eagle River,Mishi,22.22222222222222,12.5
ON-MAIN-cb85213a,ON-MINCAN-1c3b8f14,269.08,Eagle River,Eagle River,100.0,100.0
QC-MAIN-9de9bb0d,QC-MINCAN-494c7715,603.69,Kiena,Kiena,100.0,100.0
QC-MAIN-9de9bb0d,QC-MINCAN-44904232,4107.51,Kiena,Goldex,28.57142857142857,18.181818181818187
QC-MAIN-9de9bb0d,QC-MINCAN-920ca787,14257.55,Kiena,Canadian Malartic,44.44444444444444,27.272727272727266
QC-MAIN-9de9bb0d,QC-MINCAN-6f83c124,16579.62,Kiena,Canadian Malartic,44.44444444444444,27.272727272727266
QC-MAIN-9de9bb0d,QC-MINCAN-b4d15252,14769.67,Kiena,Mine Barnat (Sladen),50.0,24.0
QC-MAIN-9de9bb0d,QC-MINCAN-0feebe9d,6342.06,Kiena,Joubi,33.333333333333336,20.0
ON-MAIN-c5fefb01,ON-MINCAN-97f916de,551.25,Mishi,Mishi,100.0,100.0
